session_id,file,lenT,lenC,hashT,hashC
040_A,040_A.parquet,2700,2700,4cc080bcf0b4df5f832f9417cfdcd3c2,2782710636fe448cd4571b453015ff27
040_B,040_B.parquet,1800,1800,fef2fccc33ac1dc1cf97214d5af4209a,9a2d77feee6d99ea55bda1569f1f1787
041_A,041_A.parquet,2700,2700,61199e8efbfe7c52793cd6709c338d2a,a0569c17e25c7f5639ff2f4cb0d87442
042_A,042_A.parquet,2700,2700,053a42951450ed4bf4bb3d0c45397b62,5d19e23a9d238907f7762c934072f4e0
042_B,042_B.parquet,2532,2532,78897bbab15a815fe9c86948d6e391cd,d0f555919a356203c011b878e4e59781
044_A,044_A.parquet,2700,2700,9f8116a3adf2561c7baa578467ab222c,ec5285d4e30e0fc30d6b2eeba98fbf49
045_A,045_A.parquet,1800,1800,a5f66f909d45bd487f882edc2133e5f0,ab8f15cc8959501b056113b697c059a9
046_A,046_A.parquet,2700,2700,b6299880b76f966059b55551a0e57ef4,1441a9891eb5cbd5cea04b49d50e2996
046_B,046_B.parquet,2340,2340,66d7d5ecc9a24af5f56afd94e04c8ae3,380ae8456bfbec048d454742479a05db
047_A,047_A.parquet,2700,2700,277de8d79b2d586afaf491463ca2ba13,6c87202d3b9595918e5c9cf0ca387d9f
049_A,049_A.parquet,2700,2700,04f35d74c9d6e7f2f97088acbb446704,00ef53747f6ead00b8b180176f66a8e3
050_A,050_A.parquet,2700,2700,a19831377da3f21d85f45ef5880b3636,95bc74bc7704b26e8ff115b2c5e08122
051_A,051_A.parquet,1800,1800,df2ee52b3f8a459e1eea98121ab85638,5cb0d070fcdf5fecd6b5eade3ed58140
051_B,051_B.parquet,2286,2286,83cc5f8f24b893b434c1638506d11170,c4e450fe400422486202f0805405996f
052_A,052_A.parquet,2700,2700,c0196cf31941e1114d496d89daf7fab7,33f12b4ea78cce3f46581883f6ba3e5a
052_B,052_B.parquet,2700,2700,ee98e6a9e990852e58b9b2220c268ee4,ba6a47550d1e2476861addd8cb39e7d9
053_B,053_B.parquet,2526,2526,19142abfdff2ad12bbd5f733a26c30c3,5ff581a6b16ab7fd67a94f9fc01e67e8
057_A,057_A.parquet,2100,2100,04dcd0b1b3ce47b021891af6da3f3705,ca90410a41bf32881d87843dd1ae5c88
059_A,059_A.parquet,1800,1800,087af2a502e00e28f9450933ec93fee4,7cf9b8264bf0974ae9364ed84a51de5c
060_A,060_A.parquet,2700,2700,9e668439cd55b113646dc3797c13904a,4ee5f558c4e3943310b7496f6fc9225b
061_A,061_A.parquet,2700,2700,e3625ca3c5e2ddcc7c69ee882ffeccb3,397c826c9f5a3aafbf6868fc122dfde6
061_B,061_B.parquet,1800,1800,9e095980ce95f8a10508708f3885eb22,76e84a578584610aa364918f52807a6e
062_A,062_A.parquet,2922,2922,b2ae532f5cb3b52cac7c870ca670146a,5999036cbdd69c863652a1d1debb864f
062_B,062_B.parquet,2826,2826,5eb1a381c63fd217cbafa533f1b9b2fc,ac4ad2067ead751df1de098ff9702a63
066_A,066_A.parquet,2700,2700,294ffacd8b3b09600bc376e701be0e40,9906ec66e6e522feba1ce93eba5bb3d3
066_B,066_B.parquet,2700,2700,052daf647f37993dab52fb1f4320b23a,033ee22d102e8dd65a16ad22a9211132
